जैज. जैज 124.	జాజ. జాజ 124.
ऊपर लें.	పెకి లేపండి.
अकेले इंसान थे जिनके पास पायलट का अनुभव था	ఏకెక వయకతి బరయన నారటన మాతరమే
{\an8}हमें भोजन परदान करें.	{\an8}మా అనుదినాహారము నేడు మాకు దయచేయుము.
उतरने के बाद सब समझाऊँगा.	నువవు నేలపెకి దిగగానే నేను వివరిసతాను.
सेसना 898, उतर सकते हो.	సెసనా 898, నీ దింపివేతను ఆమోదించాం.
यह या तो कोई परीकषा है,	ఇది ఒక రకమెన పరీకష అయినా అయయుండాలి,
-उडान कितनी लंबी है, पापा? -मैं तुमहें बताता हूँ.	-ఫలయిట ఎంతసేపు, నాననా? -చెపతాను.
बारह हजार पर.	అది 12, 000 అడుగులు.
अभी शुरू करेंगे, तैयार हो जाओ. . .	గీతపె ఉండు, సిదధం. . .
वह कब से आसमान में है?	అతను గాలలో ఎంత సేపటి నుండి ఉననాడు?
परारथना करते हैं.	పరారథిదదాం.
रनवे पर नजर रखना. तुम संभालोगो.	నీ దృషటి రనవేపెనే పెటటు. నువవు విమానం దించుతావు.
हाँ. एक और दमकल लाओ.	అవును. మరో అగనిమాపక టరక పిలువు.
-. . . जिनहें दीवारों पर टाँगा जाता है. -कया?	-. . . ఒక చకకటి సామెత. -ఏంటి?
-हाँ. -ठीक है?	-అవును. అవును. -అలాగా?
इनाम का पैसा हमें ही मिलेगा.	మనం దీనితోనే బహుమతి డబబులను సంపాదిసతాం చూడు.
कया बात है?	ఏమెంది?
एल-एच-तीन-चार.	లీమా-హోటల-మూడు-నాలుగు.
डैन, मेरे यार.	బాగుంది, నా బాబు, డాన.
माँ, ऐसा है.	అమమా, ఒకటి చెపపాలి.
मैं वह कर सकता हूँ.	అలా చేయగలను.
". . . कभी भी. " कुछ बार कहते हैं.	". . . ఇంతకుముందెపుడూ తినలేదు. " మరినని సారలు చెబుదాం.
