पलीज . पलीज .	పలీజ . పలీజ .
मुझे लगता है यह बेहतर होगा अगर रे न वह वी डियो पो सट ना करे , बस इतना ही .	రెన ఆ వీ డి యో ని పో సట చేయ కుండా ఉంటే మంచిది , అంతే .
चलो इसे जाने नहीं दे ते हैं . बा य , दोसत ों . अचछा रहा .	ఇ ందు లోనే ఎ కక ాలి . బె , ఫ రెండ స . అంతే .
- " च ॉ को ला ट . " - " च ॉ को ला ट . "	- చా కో లా . - చా కో లా .
धत , उससे चो ट लगी .	అబబా , చాలా న ొ పప ి వచచింది .
तुमहारी जिंदगी की कहानी कहानी के ट ु क ड ों को जु ड ते देखो	నీ జీవి త గా థ పరిసథి తులు చ కక బడ టం చూడు
कया यह म ुम किन हो सकता है कि यह वह महसूस करे जो मैं कर रहा हूँ ?	ఈ మె కూడా నేను ఫీ ల అవు తునన టటే ఫీ ల అవు తు ందా ?
जो मेरे दिमाग में घ ू म ता रह ता है	నా మన సు లో ఒకక టే ఆలోచ న
यह उससे जयादा है , जे कब .	ఈ ని రా శ అ ందుకు వచచింది కాదు , జే క బ .
मैं पीछे बहुत कुछ छोड कर जा रहा हूँ	నేను ఎ ంతో వది లి వెళళ ాలి
कया यह पता लगा ने का समय आ गया अगर मैं	బహుశా నేను కేవలం కు లా సా గా
कया यह पता लगा ने का समय आ गया अगर मैं	బహుశా నేను కేవలం కు లా సా గా
हाँ , तुम भाग ती रहो , लडकी .	అవును , అలాగే పరి గె తతు కు ంట ూ పో , పి లలా .
मतलब , ये असल में अभी तक हुई नहीं हैं .	అంటే , ఇవ ననీ ఇంకా జరగ లేదు .
